roll_no,semester,subject_code,subject_name,grade,points,credits,credit_points
12024004,3,CS302,DBMS,C,6.0,4.0,24.0
12024004,3,CS303,Computer Networks,O,10.0,4.0,40.0
12024004,3,BSM302,Mathematics-IV,A,8.0,4.0,32.0
12024004,3,CS304,OS Basics,O,10.0,4.0,40.0
12024004,4,CS401,Algorithms,E,9.0,4.0,36.0
12024004,4,CS402,Software Engineering,B,7.0,4.0,28.0
12024004,4,CS403,Theory of Computation,B,7.0,4.0,28.0
12024004,4,CS404,Microprocessors,E,9.0,4.0,36.0
12024004,4,CS405,Web Development,A,8.0,4.0,32.0
12024005,1,BSM101,Mathematics-I,C,6.0,4.0,24.0
12024005,1,CS101,Programming Basics,C,6.0,4.0,24.0
12024005,1,PHY101,Physics,C,6.0,4.0,24.0
12024005,1,EE101,Basic Electrical,C,6.0,4.0,24.0
12024005,1,ENG101,English,O,10.0,4.0,40.0
12024005,2,BSM301,Mathematics-III,A,8.0,4.0,32.0
12024005,2,CS201,Data Structures,O,10.0,4.0,40.0
12024005,2,CS202,Digital Logic,B,7.0,4.0,28.0
12024005,2,ME201,Engineering Mechanics,A,8.0,4.0,32.0
12024005,2,HS201,Economics,A,8.0,4.0,32.0
12024005,3,CS301,OOP with Java,B,7.0,4.0,28.0
12024005,3,CS302,DBMS,B,7.0,4.0,28.0
12024005,3,CS303,Computer Networks,B,7.0,4.0,28.0
12024005,3,BSM302,Mathematics-IV,B,7.0,4.0,28.0
12024005,3,CS304,OS Basics,C,6.0,4.0,24.0
12024005,4,CS401,Algorithms,A,8.0,4.0,32.0
12024005,4,CS402,Software Engineering,B,7.0,4.0,28.0
12024005,4,CS403,Theory of Computation,C,6.0,4.0,24.0
12024005,4,CS404,Microprocessors,E,9.0,4.0,36.0
12024005,4,CS405,Web Development,E,9.0,4.0,36.0
12024006,1,BSM101,Mathematics-I,B,7.0,4.0,28.0
12024006,1,CS101,Programming Basics,C,6.0,4.0,24.0
12024006,1,PHY101,Physics,B,7.0,4.0,28.0
12024006,1,EE101,Basic Electrical,O,10.0,4.0,40.0
12024006,1,ENG101,English,A,8.0,4.0,32.0
12024006,2,BSM301,Mathematics-III,C,6.0,4.0,24.0
12024006,2,CS201,Data Structures,B,7.0,4.0,28.0
12024006,2,CS202,Digital Logic,A,8.0,4.0,32.0
12024006,2,ME201,Engineering Mechanics,E,9.0,4.0,36.0
12024006,2,HS201,Economics,E,9.0,4.0,36.0
12024006,3,CS301,OOP with Java,E,9.0,4.0,36.0
12024006,3,CS302,DBMS,C,6.0,4.0,24.0
12024006,3,CS303,Computer Networks,B,7.0,4.0,28.0
12024006,3,BSM302,Mathematics-IV,C,6.0,4.0,24.0
12024006,3,CS304,OS Basics,E,9.0,4.0,36.0
12024006,4,CS401,Algorithms,A,8.0,4.0,32.0
12024006,4,CS402,Software Engineering,E,9.0,4.0,36.0
12024006,4,CS403,Theory of Computation,E,9.0,4.0,36.0
12024006,4,CS404,Microprocessors,C,6.0,4.0,24.0
12024006,4,CS405,Web Development,C,6.0,4.0,24.0
12024007,1,BSM101,Mathematics-I,E,9.0,4.0,36.0
12024007,1,CS101,Programming Basics,A,8.0,4.0,32.0
12024007,1,PHY101,Physics,O,10.0,4.0,40.0
12024007,1,EE101,Basic Electrical,C,6.0,4.0,24.0
12024007,1,ENG101,English,B,7.0,4.0,28.0
12024007,2,BSM301,Mathematics-III,A,8.0,4.0,32.0
12024007,2,CS201,Data Structures,C,6.0,4.0,24.0
12024007,2,CS202,Digital Logic,B,7.0,4.0,28.0
12024007,2,ME201,Engineering Mechanics,E,9.0,4.0,36.0
12024007,2,HS201,Economics,A,8.0,4.0,32.0
12024007,3,CS301,OOP with Java,O,10.0,4.0,40.0
12024007,3,CS302,DBMS,C,6.0,4.0,24.0
12024007,3,CS303,Computer Networks,B,7.0,4.0,28.0
12024007,3,BSM302,Mathematics-IV,B,7.0,4.0,28.0
12024007,3,CS304,OS Basics,A,8.0,4.0,32.0
12024007,4,CS401,Algorithms,E,9.0,4.0,36.0
12024007,4,CS402,Software Engineering,O,10.0,4.0,40.0
12024007,4,CS403,Theory of Computation,C,6.0,4.0,24.0
12024007,4,CS404,Microprocessors,A,8.0,4.0,32.0
12024007,4,CS405,Web Development,C,6.0,4.0,24.0
12024008,1,BSM101,Mathematics-I,E,9.0,4.0,36.0
12024008,1,CS101,Programming Basics,A,8.0,4.0,32.0
12024008,1,PHY101,Physics,O,10.0,4.0,40.0
12024008,1,EE101,Basic Electrical,C,6.0,4.0,24.0
12024008,1,ENG101,English,B,7.0,4.0,28.0
12024008,2,BSM301,Mathematics-III,E,9.0,4.0,36.0
12024008,2,CS201,Data Structures,E,9.0,4.0,36.0
12024008,2,CS202,Digital Logic,E,9.0,4.0,36.0
12024008,2,ME201,Engineering Mechanics,E,9.0,4.0,36.0
12024008,2,HS201,Economics,E,9.0,4.0,36.0
12024008,3,CS301,OOP with Java,B,7.0,4.0,28.0
12024008,3,CS302,DBMS,O,10.0,4.0,40.0
12024008,3,CS303,Computer Networks,C,6.0,4.0,24.0
12024008,3,BSM302,Mathematics-IV,A,8.0,4.0,32.0
12024008,3,CS304,OS Basics,E,9.0,4.0,36.0
12024008,4,CS401,Algorithms,C,6.0,4.0,24.0
12024008,4,CS402,Software Engineering,C,6.0,4.0,24.0
12024008,4,CS403,Theory of Computation,A,8.0,4.0,32.0
12024008,4,CS404,Microprocessors,O,10.0,4.0,40.0
12024008,4,CS405,Web Development,A,8.0,4.0,32.0
12024009,1,BSM101,Mathematics-I,E,9.0,4.0,36.0
12024009,1,CS101,Programming Basics,A,8.0,4.0,32.0
12024009,1,PHY101,Physics,B,7.0,4.0,28.0
12024009,1,EE101,Basic Electrical,C,6.0,4.0,24.0
12024009,1,ENG101,English,E,9.0,4.0,36.0
12024009,2,BSM301,Mathematics-III,C,6.0,4.0,24.0
12024009,2,CS201,Data Structures,E,9.0,4.0,36.0
12024009,2,CS202,Digital Logic,C,6.0,4.0,24.0
12024009,2,ME201,Engineering Mechanics,B,7.0,4.0,28.0
12024009,2,HS201,Economics,E,9.0,4.0,36.0
12024009,3,CS301,OOP with Java,A,8.0,4.0,32.0
12024009,3,CS302,DBMS,E,9.0,4.0,36.0
12024009,3,CS303,Computer Networks,A,8.0,4.0,32.0
12024009,3,BSM302,Mathematics-IV,A,8.0,4.0,32.0
12024009,3,CS304,OS Basics,C,6.0,4.0,24.0
12024009,4,CS401,Algorithms,C,6.0,4.0,24.0
12024009,4,CS402,Software Engineering,E,9.0,4.0,36.0
12024009,4,CS403,Theory of Computation,O,10.0,4.0,40.0
12024009,4,CS404,Microprocessors,A,8.0,4.0,32.0
12024009,4,CS405,Web Development,C,6.0,4.0,24.0
12024010,1,BSM101,Mathematics-I,C,6.0,4.0,24.0
12024010,1,CS101,Programming Basics,E,9.0,4.0,36.0
12024010,1,PHY101,Physics,O,10.0,4.0,40.0
12024010,1,EE101,Basic Electrical,A,8.0,4.0,32.0
12024010,1,ENG101,English,E,9.0,4.0,36.0
12024010,2,BSM301,Mathematics-III,A,8.0,4.0,32.0
12024010,2,CS201,Data Structures,A,8.0,4.0,32.0
12024010,2,CS202,Digital Logic,B,7.0,4.0,28.0
12024010,2,ME201,Engineering Mechanics,B,7.0,4.0,28.0
12024010,2,HS201,Economics,B,7.0,4.0,28.0
12024010,3,CS301,OOP with Java,O,10.0,4.0,40.0
12024010,3,CS302,DBMS,O,10.0,4.0,40.0
12024010,3,CS303,Computer Networks,C,6.0,4.0,24.0
12024010,3,BSM302,Mathematics-IV,E,9.0,4.0,36.0
12024010,3,CS304,OS Basics,O,10.0,4.0,40.0
12024010,4,CS401,Algorithms,C,6.0,4.0,24.0
12024010,4,CS402,Software Engineering,O,10.0,4.0,40.0
12024010,4,CS403,Theory of Computation,A,8.0,4.0,32.0
12024010,4,CS404,Microprocessors,O,10.0,4.0,40.0
12024010,4,CS405,Web Development,C,6.0,4.0,24.0
12024011,1,BSM101,Mathematics-I,C,6.0,4.0,24.0
12024011,1,CS101,Programming Basics,B,7.0,4.0,28.0
12024011,1,PHY101,Physics,C,6.0,4.0,24.0
12024011,1,EE101,Basic Electrical,B,7.0,4.0,28.0
12024011,1,ENG101,English,B,7.0,4.0,28.0
12024011,2,BSM301,Mathematics-III,B,7.0,4.0,28.0
12024011,2,CS201,Data Structures,O,10.0,4.0,40.0
12024011,2,CS202,Digital Logic,C,6.0,4.0,24.0
12024011,2,ME201,Engineering Mechanics,B,7.0,4.0,28.0
12024011,2,HS201,Economics,A,8.0,4.0,32.0
12024011,3,CS301,OOP with Java,E,9.0,4.0,36.0
12024011,3,CS302,DBMS,B,7.0,4.0,28.0
12024011,3,CS303,Computer Networks,E,9.0,4.0,36.0
12024011,3,BSM302,Mathematics-IV,O,10.0,4.0,40.0
12024011,3,CS304,OS Basics,O,10.0,4.0,40.0
12024011,4,CS401,Algorithms,C,6.0,4.0,24.0
12024011,4,CS402,Software Engineering,B,7.0,4.0,28.0
12024011,4,CS403,Theory of Computation,O,10.0,4.0,40.0
12024011,4,CS404,Microprocessors,B,7.0,4.0,28.0
12024011,4,CS405,Web Development,A,8.0,4.0,32.0
12024012,1,BSM101,Mathematics-I,A,8.0,4.0,32.0
12024012,1,CS101,Programming Basics,A,8.0,4.0,32.0
12024012,1,PHY101,Physics,O,10.0,4.0,40.0
12024012,1,EE101,Basic Electrical,A,8.0,4.0,32.0
12024012,1,ENG101,English,B,7.0,4.0,28.0
12024012,2,BSM301,Mathematics-III,B,7.0,4.0,28.0
12024012,2,CS201,Data Structures,O,10.0,4.0,40.0
12024012,2,CS202,Digital Logic,O,10.0,4.0,40.0
12024012,2,ME201,Engineering Mechanics,A,8.0,4.0,32.0
12024012,2,HS201,Economics,E,9.0,4.0,36.0
12024012,3,CS301,OOP with Java,C,6.0,4.0,24.0
12024012,3,CS302,DBMS,E,9.0,4.0,36.0
12024012,3,CS303,Computer Networks,B,7.0,4.0,28.0
12024012,3,BSM302,Mathematics-IV,B,7.0,4.0,28.0
12024012,3,CS304,OS Basics,E,9.0,4.0,36.0
12024012,4,CS401,Algorithms,E,9.0,4.0,36.0
12024012,4,CS402,Software Engineering,O,10.0,4.0,40.0
12024012,4,CS403,Theory of Computation,A,8.0,4.0,32.0
12024012,4,CS404,Microprocessors,O,10.0,4.0,40.0
12024012,4,CS405,Web Development,C,6.0,4.0,24.0
12024013,1,BSM101,Mathematics-I,A,8.0,4.0,32.0
12024013,1,CS101,Programming Basics,B,7.0,4.0,28.0
12024013,1,PHY101,Physics,A,8.0,4.0,32.0
12024013,1,EE101,Basic Electrical,C,6.0,4.0,24.0
12024013,1,ENG101,English,E,9.0,4.0,36.0
12024013,2,BSM301,Mathematics-III,E,9.0,4.0,36.0
12024013,2,CS201,Data Structures,E,9.0,4.0,36.0
12024013,2,CS202,Digital Logic,C,6.0,4.0,24.0
12024013,2,ME201,Engineering Mechanics,E,9.0,4.0,36.0
12024013,2,HS201,Economics,B,7.0,4.0,28.0
12024013,3,CS301,OOP with Java,B,7.0,4.0,28.0
12024013,3,CS302,DBMS,O,10.0,4.0,40.0
12024013,3,CS303,Computer Networks,B,7.0,4.0,28.0
12024013,3,BSM302,Mathematics-IV,B,7.0,4.0,28.0
12024013,3,CS304,OS Basics,A,8.0,4.0,32.0
12024013,4,CS401,Algorithms,O,10.0,4.0,40.0
12024013,4,CS402,Software Engineering,C,6.0,4.0,24.0
12024013,4,CS403,Theory of Computation,B,7.0,4.0,28.0
12024013,4,CS404,Microprocessors,C,6.0,4.0,24.0
12024013,4,CS405,Web Development,B,7.0,4.0,28.0
12024014,1,BSM101,Mathematics-I,B,7.0,4.0,28.0
12024014,1,CS101,Programming Basics,E,9.0,4.0,36.0
12024014,1,PHY101,Physics,E,9.0,4.0,36.0
12024014,1,EE101,Basic Electrical,O,10.0,4.0,40.0
12024014,1,ENG101,English,B,7.0,4.0,28.0
12024014,2,BSM301,Mathematics-III,C,6.0,4.0,24.0
12024014,2,CS201,Data Structures,B,7.0,4.0,28.0
12024014,2,CS202,Digital Logic,O,10.0,4.0,40.0
12024014,2,ME201,Engineering Mechanics,C,6.0,4.0,24.0
12024014,2,HS201,Economics,E,9.0,4.0,36.0
12024014,3,CS301,OOP with Java,B,7.0,4.0,28.0
12024014,3,CS302,DBMS,C,6.0,4.0,24.0
12024014,3,CS303,Computer Networks,C,6.0,4.0,24.0
12024014,3,BSM302,Mathematics-IV,O,10.0,4.0,40.0
12024014,3,CS304,OS Basics,E,9.0,4.0,36.0
12024014,4,CS401,Algorithms,C,6.0,4.0,24.0
12024014,4,CS402,Software Engineering,B,7.0,4.0,28.0
12024014,4,CS403,Theory of Computation,C,6.0,4.0,24.0
12024014,4,CS404,Microprocessors,C,6.0,4.0,24.0
12024014,4,CS405,Web Development,B,7.0,4.0,28.0
12024015,1,BSM101,Mathematics-I,C,6.0,4.0,24.0
12024015,1,CS101,Programming Basics,E,9.0,4.0,36.0
12024015,1,PHY101,Physics,C,6.0,4.0,24.0
12024015,1,EE101,Basic Electrical,O,10.0,4.0,40.0
12024015,1,ENG101,English,B,7.0,4.0,28.0
12024015,2,BSM301,Mathematics-III,O,10.0,4.0,40.0
12024015,2,CS201,Data Structures,O,10.0,4.0,40.0
12024015,2,CS202,Digital Logic,C,6.0,4.0,24.0
12024015,2,ME201,Engineering Mechanics,C,6.0,4.0,24.0
12024015,2,HS201,Economics,C,6.0,4.0,24.0
12024015,3,CS301,OOP with Java,A,8.0,4.0,32.0
12024015,3,CS302,DBMS,O,10.0,4.0,40.0
12024015,3,CS303,Computer Networks,E,9.0,4.0,36.0
12024015,3,BSM302,Mathematics-IV,A,8.0,4.0,32.0
12024015,3,CS304,OS Basics,B,7.0,4.0,28.0
12024015,4,CS401,Algorithms,E,9.0,4.0,36.0
12024015,4,CS402,Software Engineering,O,10.0,4.0,40.0
12024015,4,CS403,Theory of Computation,C,6.0,4.0,24.0
12024015,4,CS404,Microprocessors,E,9.0,4.0,36.0
12024015,4,CS405,Web Development,B,7.0,4.0,28.0
12024016,1,BSM101,Mathematics-I,E,9.0,4.0,36.0
12024016,1,CS101,Programming Basics,E,9.0,4.0,36.0
12024016,1,PHY101,Physics,C,6.0,4.0,24.0
12024016,1,EE101,Basic Electrical,E,9.0,4.0,36.0
12024016,1,ENG101,English,C,6.0,4.0,24.0
12024016,2,BSM301,Mathematics-III,B,7.0,4.0,28.0
12024016,2,CS201,Data Structures,E,9.0,4.0,36.0
12024016,2,CS202,Digital Logic,E,9.0,4.0,36.0
12024016,2,ME201,Engineering Mechanics,B,7.0,4.0,28.0
12024016,2,HS201,Economics,A,8.0,4.0,32.0
12024016,3,CS301,OOP with Java,O,10.0,4.0,40.0
12024016,3,CS302,DBMS,O,10.0,4.0,40.0
12024016,3,CS303,Computer Networks,O,10.0,4.0,40.0
12024016,3,BSM302,Mathematics-IV,A,8.0,4.0,32.0
12024016,3,CS304,OS Basics,O,10.0,4.0,40.0
12024016,4,CS401,Algorithms,A,8.0,4.0,32.0
12024016,4,CS402,Software Engineering,B,7.0,4.0,28.0
12024016,4,CS403,Theory of Computation,A,8.0,4.0,32.0
12024016,4,CS404,Microprocessors,A,8.0,4.0,32.0
12024016,4,CS405,Web Development,O,10.0,4.0,40.0
12024017,1,BSM101,Mathematics-I,O,10.0,4.0,40.0
12024017,1,CS101,Programming Basics,C,6.0,4.0,24.0
12024017,1,PHY101,Physics,O,10.0,4.0,40.0
12024017,1,EE101,Basic Electrical,A,8.0,4.0,32.0
12024017,1,ENG101,English,A,8.0,4.0,32.0
12024017,2,BSM301,Mathematics-III,C,6.0,4.0,24.0
12024017,2,CS201,Data Structures,O,10.0,4.0,40.0
12024017,2,CS202,Digital Logic,A,8.0,4.0,32.0
12024017,2,ME201,Engineering Mechanics,E,9.0,4.0,36.0
12024017,2,HS201,Economics,A,8.0,4.0,32.0
12024017,3,CS301,OOP with Java,B,7.0,4.0,28.0
12024017,3,CS302,DBMS,O,10.0,4.0,40.0
12024017,3,CS303,Computer Networks,B,7.0,4.0,28.0
12024017,3,BSM302,Mathematics-IV,A,8.0,4.0,32.0
12024017,3,CS304,OS Basics,E,9.0,4.0,36.0
12024017,4,CS401,Algorithms,A,8.0,4.0,32.0
12024017,4,CS402,Software Engineering,B,7.0,4.0,28.0
12024017,4,CS403,Theory of Computation,B,7.0,4.0,28.0
12024017,4,CS404,Microprocessors,C,6.0,4.0,24.0
12024017,4,CS405,Web Development,B,7.0,4.0,28.0
12024018,1,BSM101,Mathematics-I,B,7.0,4.0,28.0
12024018,1,CS101,Programming Basics,B,7.0,4.0,28.0
12024018,1,PHY101,Physics,B,7.0,4.0,28.0
12024018,1,EE101,Basic Electrical,A,8.0,4.0,32.0
12024018,1,ENG101,English,C,6.0,4.0,24.0
12024018,2,BSM301,Mathematics-III,O,10.0,4.0,40.0
12024018,2,CS201,Data Structures,B,7.0,4.0,28.0
12024018,2,CS202,Digital Logic,A,8.0,4.0,32.0
12024018,2,ME201,Engineering Mechanics,B,7.0,4.0,28.0
12024018,2,HS201,Economics,O,10.0,4.0,40.0
12024018,3,CS301,OOP with Java,A,8.0,4.0,32.0
12024018,3,CS302,DBMS,C,6.0,4.0,24.0
12024018,3,CS303,Computer Networks,A,8.0,4.0,32.0
12024018,3,BSM302,Mathematics-IV,C,6.0,4.0,24.0
12024018,3,CS304,OS Basics,B,7.0,4.0,28.0
12024018,4,CS401,Algorithms,E,9.0,4.0,36.0
12024018,4,CS402,Software Engineering,B,7.0,4.0,28.0
12024018,4,CS403,Theory of Computation,B,7.0,4.0,28.0
12024018,4,CS404,Microprocessors,C,6.0,4.0,24.0
12024018,4,CS405,Web Development,B,7.0,4.0,28.0
12024019,1,BSM101,Mathematics-I,B,7.0,4.0,28.0
12024019,1,CS101,Programming Basics,A,8.0,4.0,32.0
12024019,1,PHY101,Physics,A,8.0,4.0,32.0
12024019,1,EE101,Basic Electrical,E,9.0,4.0,36.0
12024019,1,ENG101,English,A,8.0,4.0,32.0
12024019,2,BSM301,Mathematics-III,A,8.0,4.0,32.0
12024019,2,CS201,Data Structures,C,6.0,4.0,24.0
12024019,2,CS202,Digital Logic,C,6.0,4.0,24.0
12024019,2,ME201,Engineering Mechanics,E,9.0,4.0,36.0
12024019,2,HS201,Economics,B,7.0,4.0,28.0
12024019,3,CS301,OOP with Java,E,9.0,4.0,36.0
12024019,3,CS302,DBMS,B,7.0,4.0,28.0
12024019,3,CS303,Computer Networks,O,10.0,4.0,40.0
12024019,3,BSM302,Mathematics-IV,C,6.0,4.0,24.0
12024019,3,CS304,OS Basics,C,6.0,4.0,24.0
12024019,4,CS401,Algorithms,C,6.0,4.0,24.0
12024019,4,CS402,Software Engineering,B,7.0,4.0,28.0
12024019,4,CS403,Theory of Computation,E,9.0,4.0,36.0
12024019,4,CS404,Microprocessors,O,10.0,4.0,40.0
12024019,4,CS405,Web Development,B,7.0,4.0,28.0
12024020,1,BSM101,Mathematics-I,E,9.0,4.0,36.0
12024020,1,CS101,Programming Basics,B,7.0,4.0,28.0
12024020,1,PHY101,Physics,O,10.0,4.0,40.0
12024020,1,EE101,Basic Electrical,E,9.0,4.0,36.0
12024020,1,ENG101,English,C,6.0,4.0,24.0
12024020,2,BSM301,Mathematics-III,E,9.0,4.0,36.0
12024020,2,CS201,Data Structures,C,6.0,4.0,24.0
12024020,2,CS202,Digital Logic,A,8.0,4.0,32.0
12024020,2,ME201,Engineering Mechanics,C,6.0,4.0,24.0
12024020,2,HS201,Economics,B,7.0,4.0,28.0
12024020,3,CS301,OOP with Java,B,7.0,4.0,28.0
12024020,3,CS302,DBMS,O,10.0,4.0,40.0
12024020,3,CS303,Computer Networks,O,10.0,4.0,40.0
12024020,3,BSM302,Mathematics-IV,O,10.0,4.0,40.0
12024020,3,CS304,OS Basics,A,8.0,4.0,32.0
12024020,4,CS401,Algorithms,C,6.0,4.0,24.0
12024020,4,CS402,Software Engineering,O,10.0,4.0,40.0
12024020,4,CS403,Theory of Computation,E,9.0,4.0,36.0
12024020,4,CS404,Microprocessors,C,6.0,4.0,24.0
12024020,4,CS405,Web Development,C,6.0,4.0,24.0
12024021,1,BSM101,Mathematics-I,A,8.0,4.0,32.0
12024021,1,CS101,Programming Basics,B,7.0,4.0,28.0
12024021,1,PHY101,Physics,C,6.0,4.0,24.0
12024021,1,EE101,Basic Electrical,B,7.0,4.0,28.0
12024021,1,ENG101,English,C,6.0,4.0,24.0
12024021,2,BSM301,Mathematics-III,O,10.0,4.0,40.0
12024021,2,CS201,Data Structures,E,9.0,4.0,36.0
12024021,2,CS202,Digital Logic,B,7.0,4.0,28.0
12024021,2,ME201,Engineering Mechanics,E,9.0,4.0,36.0
12024021,2,HS201,Economics,B,7.0,4.0,28.0
12024021,3,CS301,OOP with Java,E,9.0,4.0,36.0
12024021,3,CS302,DBMS,A,8.0,4.0,32.0
12024021,3,CS303,Computer Networks,O,10.0,4.0,40.0
12024021,3,BSM302,Mathematics-IV,B,7.0,4.0,28.0
12024021,3,CS304,OS Basics,E,9.0,4.0,36.0
12024021,4,CS401,Algorithms,C,6.0,4.0,24.0
12024021,4,CS402,Software Engineering,O,10.0,4.0,40.0
12024021,4,CS403,Theory of Computation,B,7.0,4.0,28.0
12024021,4,CS404,Microprocessors,O,10.0,4.0,40.0
12024021,4,CS405,Web Development,B,7.0,4.0,28.0
12024022,1,BSM101,Mathematics-I,A,8.0,4.0,32.0
12024022,1,CS101,Programming Basics,A,8.0,4.0,32.0
12024022,1,PHY101,Physics,B,7.0,4.0,28.0
12024022,1,EE101,Basic Electrical,B,7.0,4.0,28.0
12024022,1,ENG101,English,E,9.0,4.0,36.0
12024022,2,BSM301,Mathematics-III,O,10.0,4.0,40.0
12024022,2,CS201,Data Structures,O,10.0,4.0,40.0
12024022,2,CS202,Digital Logic,O,10.0,4.0,40.0
12024022,2,ME201,Engineering Mechanics,A,8.0,4.0,32.0
12024022,2,HS201,Economics,C,6.0,4.0,24.0
12024022,3,CS301,OOP with Java,E,9.0,4.0,36.0
12024022,3,CS302,DBMS,A,8.0,4.0,32.0
12024022,3,CS303,Computer Networks,C,6.0,4.0,24.0
12024022,3,BSM302,Mathematics-IV,A,8.0,4.0,32.0
12024022,3,CS304,OS Basics,E,9.0,4.0,36.0
12024022,4,CS401,Algorithms,C,6.0,4.0,24.0
12024022,4,CS402,Software Engineering,C,6.0,4.0,24.0
12024022,4,CS403,Theory of Computation,O,10.0,4.0,40.0
12024022,4,CS404,Microprocessors,O,10.0,4.0,40.0
12024022,4,CS405,Web Development,C,6.0,4.0,24.0
12024023,1,BSM101,Mathematics-I,C,6.0,4.0,24.0
12024023,1,CS101,Programming Basics,B,7.0,4.0,28.0
12024023,1,PHY101,Physics,C,6.0,4.0,24.0
12024023,1,EE101,Basic Electrical,B,7.0,4.0,28.0
12024023,1,ENG101,English,C,6.0,4.0,24.0
12024023,2,BSM301,Mathematics-III,E,9.0,4.0,36.0
12024023,2,CS201,Data Structures,A,8.0,4.0,32.0
12024023,2,CS202,Digital Logic,E,9.0,4.0,36.0
12024023,2,ME201,Engineering Mechanics,E,9.0,4.0,36.0
12024023,2,HS201,Economics,A,8.0,4.0,32.0
12024023,3,CS301,OOP with Java,O,10.0,4.0,40.0
12024023,3,CS302,DBMS,A,8.0,4.0,32.0
